p = { 39 , 15 }, f = 19.0 , h = 5.0 , g = 14.0 , 
p = { 35 , 15 }, f = 19.0 , h = 9.0 , g = 10.0 , 
p = { 38 , 15 }, f = 19.0 , h = 6.0 , g = 13.0 , 
p = { 40 , 9 }, f = 19.0 , h = 10.0 , g = 9.0 , 
p = { 39 , 11 }, f = 19.0 , h = 9.0 , g = 10.0 , 
p = { 39 , 11 }, f = 19.0 , h = 9.0 , g = 10.0 , 
p = { 38 , 13 }, f = 19.0 , h = 8.0 , g = 11.0 , 
p = { 34 , 12 }, f = 19.0 , h = 11.0 , g = 8.0 , 
p = { 40 , 9 }, f = 19.0 , h = 10.0 , g = 9.0 , 
p = { 40 , 9 }, f = 19.0 , h = 10.0 , g = 9.0 , 
p = { 39 , 11 }, f = 19.0 , h = 9.0 , g = 10.0 , 
p = { 34 , 11 }, f = 19.0 , h = 12.0 , g = 7.0 , 
p = { 39 , 11 }, f = 19.0 , h = 9.0 , g = 10.0 , 
p = { 35 , 15 }, f = 19.0 , h = 9.0 , g = 10.0 , 
p = { 37 , 14 }, f = 19.0 , h = 8.0 , g = 11.0 , 
p = { 37 , 8 }, f = 19.0 , h = 12.0 , g = 7.0 , 
p = { 34 , 12 }, f = 19.0 , h = 11.0 , g = 8.0 , 
p = { 40 , 9 }, f = 19.0 , h = 10.0 , g = 9.0 , 
p = { 40 , 9 }, f = 19.0 , h = 10.0 , g = 9.0 , 
p = { 40 , 9 }, f = 19.0 , h = 10.0 , g = 9.0 , 
p = { 40 , 9 }, f = 19.0 , h = 10.0 , g = 9.0 , 
p = { 40 , 10 }, f = 19.0 , h = 9.0 , g = 10.0 , 
p = { 40 , 10 }, f = 19.0 , h = 9.0 , g = 10.0 , 
p = { 37 , 6 }, f = 19.0 , h = 14.0 , g = 5.0 , 
p = { 39 , 16 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 37 , 7 }, f = 19.0 , h = 13.0 , g = 6.0 , 
p = { 39 , 11 }, f = 19.0 , h = 9.0 , g = 10.0 , 
p = { 36 , 14 }, f = 19.0 , h = 9.0 , g = 10.0 , 
p = { 39 , 11 }, f = 19.0 , h = 9.0 , g = 10.0 , 
p = { 36 , 14 }, f = 19.0 , h = 9.0 , g = 10.0 , 
p = { 38 , 13 }, f = 19.0 , h = 8.0 , g = 11.0 , 
p = { 37 , 6 }, f = 19.0 , h = 14.0 , g = 5.0 , 
p = { 40 , 15 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 39 , 16 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 39 , 16 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 35 , 11 }, f = 19.0 , h = 11.0 , g = 8.0 , 
p = { 40 , 9 }, f = 19.0 , h = 10.0 , g = 9.0 , 
p = { 37 , 8 }, f = 19.0 , h = 12.0 , g = 7.0 , 
p = { 34 , 15 }, f = 19.0 , h = 10.0 , g = 9.0 , 
p = { 40 , 9 }, f = 19.0 , h = 10.0 , g = 9.0 , 
p = { 40 , 9 }, f = 19.0 , h = 10.0 , g = 9.0 , 
p = { 40 , 9 }, f = 19.0 , h = 10.0 , g = 9.0 , 
p = { 40 , 9 }, f = 19.0 , h = 10.0 , g = 9.0 , 
p = { 39 , 11 }, f = 19.0 , h = 9.0 , g = 10.0 , 
p = { 36 , 14 }, f = 19.0 , h = 9.0 , g = 10.0 , 
p = { 40 , 10 }, f = 19.0 , h = 9.0 , g = 10.0 , 
p = { 39 , 11 }, f = 19.0 , h = 9.0 , g = 10.0 , 
p = { 37 , 6 }, f = 19.0 , h = 14.0 , g = 5.0 , 
p = { 32 , 6 }, f = 19.0 , h = 17.0 , g = 2.0 , 
p = { 41 , 14 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 40 , 15 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 40 , 15 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 39 , 16 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 39 , 16 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 36 , 14 }, f = 19.0 , h = 9.0 , g = 10.0 , 
p = { 37 , 6 }, f = 19.0 , h = 14.0 , g = 5.0 , 
p = { 39 , 11 }, f = 19.0 , h = 9.0 , g = 10.0 , 
p = { 39 , 16 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 36 , 14 }, f = 19.0 , h = 9.0 , g = 10.0 , 
p = { 39 , 11 }, f = 19.0 , h = 9.0 , g = 10.0 , 
p = { 41 , 14 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 37 , 14 }, f = 19.0 , h = 8.0 , g = 11.0 , 
p = { 37 , 14 }, f = 19.0 , h = 8.0 , g = 11.0 , 
p = { 31 , 9 }, f = 19.0 , h = 15.0 , g = 4.0 , 
p = { 37 , 6 }, f = 19.0 , h = 14.0 , g = 5.0 , 
p = { 41 , 14 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 40 , 15 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 40 , 15 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 40 , 15 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 41 , 14 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 40 , 15 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 40 , 15 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 40 , 15 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 39 , 16 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 40 , 15 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 39 , 16 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 40 , 15 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 40 , 15 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 40 , 9 }, f = 19.0 , h = 10.0 , g = 9.0 , 
p = { 40 , 15 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 40 , 15 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 40 , 9 }, f = 19.0 , h = 10.0 , g = 9.0 , 
p = { 40 , 9 }, f = 19.0 , h = 10.0 , g = 9.0 , 
p = { 39 , 16 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 37 , 7 }, f = 19.0 , h = 13.0 , g = 6.0 , 
p = { 40 , 9 }, f = 19.0 , h = 10.0 , g = 9.0 , 
p = { 40 , 9 }, f = 19.0 , h = 10.0 , g = 9.0 , 
p = { 40 , 9 }, f = 19.0 , h = 10.0 , g = 9.0 , 
p = { 40 , 10 }, f = 19.0 , h = 9.0 , g = 10.0 , 
p = { 39 , 11 }, f = 19.0 , h = 9.0 , g = 10.0 , 
p = { 40 , 10 }, f = 19.0 , h = 9.0 , g = 10.0 , 
p = { 39 , 11 }, f = 19.0 , h = 9.0 , g = 10.0 , 
p = { 40 , 10 }, f = 19.0 , h = 9.0 , g = 10.0 , 
p = { 39 , 11 }, f = 19.0 , h = 9.0 , g = 10.0 , 
p = { 39 , 11 }, f = 19.0 , h = 9.0 , g = 10.0 , 
p = { 31 , 8 }, f = 19.0 , h = 16.0 , g = 3.0 , 
p = { 39 , 16 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 39 , 16 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 40 , 15 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 40 , 15 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 39 , 16 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 40 , 15 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 39 , 16 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 40 , 15 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 40 , 15 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 41 , 14 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 40 , 15 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 40 , 15 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 40 , 15 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 39 , 11 }, f = 19.0 , h = 9.0 , g = 10.0 , 
p = { 40 , 10 }, f = 19.0 , h = 9.0 , g = 10.0 , 
p = { 34 , 5 }, f = 19.0 , h = 16.0 , g = 3.0 , 
p = { 39 , 16 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 40 , 15 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 39 , 11 }, f = 19.0 , h = 9.0 , g = 10.0 , 
p = { 40 , 15 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 41 , 14 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 41 , 14 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 40 , 15 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 40 , 15 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 40 , 15 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 39 , 16 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 39 , 16 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 38 , 13 }, f = 19.0 , h = 8.0 , g = 11.0 , 
p = { 37 , 14 }, f = 19.0 , h = 8.0 , g = 11.0 , 
p = { 38 , 13 }, f = 19.0 , h = 8.0 , g = 11.0 , 
p = { 38 , 13 }, f = 19.0 , h = 8.0 , g = 11.0 , 
p = { 31 , 7 }, f = 19.0 , h = 17.0 , g = 2.0 , 
p = { 33 , 5 }, f = 19.0 , h = 17.0 , g = 2.0 , 
p = { 40 , 15 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 40 , 15 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 40 , 15 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 40 , 15 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 41 , 14 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 39 , 16 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 40 , 15 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 39 , 16 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 40 , 15 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 40 , 15 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 39 , 16 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 39 , 16 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 41 , 14 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 40 , 15 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 40 , 15 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 39 , 16 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 39 , 16 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 41 , 14 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 40 , 15 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 40 , 15 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 40 , 15 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 40 , 15 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 40 , 15 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 40 , 15 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 39 , 16 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 40 , 15 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 39 , 16 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 40 , 15 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 40 , 15 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 39 , 16 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 40 , 15 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 41 , 14 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 39 , 16 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 40 , 15 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 40 , 8 }, f = 19.0 , h = 11.0 , g = 8.0 , 
p = { 40 , 9 }, f = 19.0 , h = 10.0 , g = 9.0 , 
p = { 40 , 9 }, f = 19.0 , h = 10.0 , g = 9.0 , 
p = { 40 , 15 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 41 , 14 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 39 , 16 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 39 , 16 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 39 , 16 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 40 , 8 }, f = 19.0 , h = 11.0 , g = 8.0 , 
p = { 40 , 15 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 41 , 14 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 40 , 15 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 40 , 7 }, f = 19.0 , h = 12.0 , g = 7.0 , 
p = { 40 , 9 }, f = 19.0 , h = 10.0 , g = 9.0 , 
p = { 39 , 16 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 34 , 5 }, f = 19.0 , h = 16.0 , g = 3.0 , 
p = { 39 , 11 }, f = 19.0 , h = 9.0 , g = 10.0 , 
p = { 39 , 11 }, f = 19.0 , h = 9.0 , g = 10.0 , 
p = { 39 , 11 }, f = 19.0 , h = 9.0 , g = 10.0 , 
p = { 39 , 11 }, f = 19.0 , h = 9.0 , g = 10.0 , 
p = { 39 , 11 }, f = 19.0 , h = 9.0 , g = 10.0 , 
p = { 36 , 14 }, f = 19.0 , h = 9.0 , g = 10.0 , 
p = { 36 , 14 }, f = 19.0 , h = 9.0 , g = 10.0 , 
p = { 36 , 14 }, f = 19.0 , h = 9.0 , g = 10.0 , 
p = { 39 , 11 }, f = 19.0 , h = 9.0 , g = 10.0 , 
p = { 40 , 10 }, f = 19.0 , h = 9.0 , g = 10.0 , 
p = { 40 , 10 }, f = 19.0 , h = 9.0 , g = 10.0 , 
p = { 40 , 10 }, f = 19.0 , h = 9.0 , g = 10.0 , 
p = { 39 , 16 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 39 , 16 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 40 , 15 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 41 , 14 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 40 , 15 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 40 , 15 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 39 , 16 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 41 , 14 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 40 , 15 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 40 , 15 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 40 , 15 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 40 , 15 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 40 , 15 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 41 , 14 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 40 , 15 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 39 , 16 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 40 , 15 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 40 , 15 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 40 , 15 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 40 , 15 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 40 , 15 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 40 , 15 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 40 , 15 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 40 , 15 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 40 , 15 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 40 , 15 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 39 , 16 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 39 , 16 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 39 , 11 }, f = 19.0 , h = 9.0 , g = 10.0 , 
p = { 39 , 11 }, f = 19.0 , h = 9.0 , g = 10.0 , 
p = { 36 , 14 }, f = 19.0 , h = 9.0 , g = 10.0 , 
p = { 39 , 11 }, f = 19.0 , h = 9.0 , g = 10.0 , 
p = { 40 , 15 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 40 , 15 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 41 , 14 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 39 , 16 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 39 , 16 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 39 , 16 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 40 , 15 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 36 , 14 }, f = 19.0 , h = 9.0 , g = 10.0 , 
p = { 41 , 14 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 39 , 16 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 40 , 15 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 40 , 15 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 39 , 16 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 39 , 16 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 40 , 15 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 40 , 15 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 39 , 16 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 41 , 14 }, f = 20.0 , h = 5.0 , g = 15.0 , 
p = { 40 , 15 }, f = 20.0 , h = 5.0 , g = 15.0 , 
